epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.409,1.52023,1.45164,1.21083,0.83707,0.62472,0.69651,0.40383,1.35583,1.00498,1.05936,0.00333134,0.00333134,0.00333134
2,332.161,1.39929,1.04376,1.08939,0.8458,0.62598,0.70325,0.41654,1.34345,0.90536,1.04906,0.00653271,0.00653271,0.00653271
3,501.828,1.42731,1.00773,1.09511,0.84202,0.61582,0.68474,0.40515,1.36444,0.90241,1.06887,0.00960209,0.00960209,0.00960209
4,668.145,1.43361,0.98886,1.10202,0.86271,0.62847,0.70875,0.42452,1.33176,0.81607,1.05169,0.009406,0.009406,0.009406
5,837.786,1.38482,0.92039,1.08226,0.85778,0.64124,0.72182,0.44202,1.28817,0.76677,1.04881,0.009208,0.009208,0.009208
6,1000.72,1.36213,0.88273,1.0762,0.86829,0.64987,0.72557,0.44893,1.27756,0.75736,1.03983,0.00901,0.00901,0.00901
7,1162.99,1.32918,0.84982,1.06183,0.8788,0.64981,0.7384,0.46065,1.25912,0.71119,1.02612,0.008812,0.008812,0.008812
8,1333.84,1.32198,0.83214,1.05818,0.87549,0.66735,0.75119,0.46999,1.24605,0.69678,1.01763,0.008614,0.008614,0.008614
9,1502.03,1.30477,0.80824,1.04711,0.87362,0.67725,0.7589,0.47259,1.23088,0.68258,1.01028,0.008416,0.008416,0.008416
10,1672.59,1.28502,0.78568,1.03942,0.86423,0.67793,0.75393,0.47234,1.22712,0.67327,1.01212,0.008218,0.008218,0.008218
11,1818.68,1.28228,0.77936,1.03999,0.88168,0.68278,0.76562,0.4824,1.21207,0.66143,1.00473,0.00802,0.00802,0.00802
12,1966.79,1.27441,0.76984,1.03722,0.88145,0.6823,0.76447,0.48675,1.19722,0.64866,1.00266,0.007822,0.007822,0.007822
13,2119.06,1.26406,0.7618,1.03228,0.87978,0.69317,0.77022,0.4899,1.19772,0.64297,0.9974,0.007624,0.007624,0.007624
14,2266.42,1.25798,0.754,1.03115,0.88388,0.68884,0.77033,0.493,1.18288,0.62534,0.99533,0.007426,0.007426,0.007426
15,2415.04,1.24224,0.73918,1.02243,0.88525,0.69737,0.77855,0.49691,1.18035,0.62285,0.99177,0.007228,0.007228,0.007228
16,2565.73,1.24138,0.73668,1.02081,0.88095,0.69803,0.77569,0.49522,1.18194,0.61601,0.99337,0.00703,0.00703,0.00703
17,2719.06,1.2318,0.72443,1.01951,0.89185,0.70065,0.78068,0.49856,1.17476,0.61068,0.98702,0.006832,0.006832,0.006832
